Janela .......: 11 	Throughput ...: 1.63 	Delay ........: 136 	T / D ........: 11.54000 
Janela .......: 11 	Throughput ...: 1.63 	Delay ........: 136 	T / D ........: 11.54000 
Janela .......: 11 	Throughput ...: 1.63 	Delay ........: 136 	T / D ........: 11.54000 
Janela .......: 11 	Throughput ...: 1.63 	Delay ........: 136 	T / D ........: 11.54000 
Janela .......: 11 	Throughput ...: 1.63 	Delay ........: 136 	T / D ........: 11.54000 
Janela .......: 11 	Throughput ...: 1.63 	Delay ........: 136 	T / D ........: 11.55000 
Janela .......: 11 	Throughput ...: 1.63 	Delay ........: 136 	T / D ........: 11.55000 
Janela .......: 11 	Throughput ...: 1.76 	Delay ........: 136 	T / D ........: 11.55000 
Janela .......: 11 	Throughput ...: 1.78 	Delay ........: 136 	T / D ........: 11.55000 
Janela .......: 11 	Throughput ...: 1.79 	Delay ........: 136 	T / D ........: 11.55000 
Janela .......: 11 	Throughput ...: 1.79 	Delay ........: 136 	T / D ........: 11.55000 
Janela .......: 11 	Throughput ...: 1.79 	Delay ........: 136 	T / D ........: 11.55000 
Janela .......: 11 	Throughput ...: 1.79 	Delay ........: 136 	T / D ........: 11.55000 
Janela .......: 11 	Throughput ...: 1.79 	Delay ........: 136 	T / D ........: 11.55000 
Janela .......: 11 	Throughput ...: 1.79 	Delay ........: 136 	T / D ........: 11.55000 
Janela .......: 11 	Throughput ...: 1.79 	Delay ........: 136 	T / D ........: 11.55000 
Janela .......: 11 	Throughput ...: 1.79 	Delay ........: 136 	T / D ........: 11.55000 
Janela .......: 11 	Throughput ...: 1.79 	Delay ........: 136 	T / D ........: 11.55000 
Janela .......: 11 	Throughput ...: 1.79 	Delay ........: 139 	T / D ........: 11.55000 
Janela .......: 11 	Throughput ...: 1.79 	Delay ........: 139 	T / D ........: 11.55000 
Janela .......: 11 	Throughput ...: 1.79 	Delay ........: 139 	T / D ........: 11.55000 
Janela .......: 11 	Throughput ...: 1.79 	Delay ........: 139 	T / D ........: 11.56000 
Janela .......: 11 	Throughput ...: 1.79 	Delay ........: 139 	T / D ........: 11.56000 
Janela .......: 11 	Throughput ...: 1.79 	Delay ........: 139 	T / D ........: 11.56000 
Janela .......: 11 	Throughput ...: 1.79 	Delay ........: 139 	T / D ........: 11.56000 
Janela .......: 11 	Throughput ...: 1.79 	Delay ........: 139 	T / D ........: 11.56000 
Janela .......: 11 	Throughput ...: 1.79 	Delay ........: 139 	T / D ........: 11.56000 
Janela .......: 11 	Throughput ...: 1.80 	Delay ........: 139 	T / D ........: 11.56000 
Janela .......: 11 	Throughput ...: 1.80 	Delay ........: 139 	T / D ........: 11.56000 
Janela .......: 11 	Throughput ...: 1.80 	Delay ........: 139 	T / D ........: 11.56000 
Janela .......: 11 	Throughput ...: 1.80 	Delay ........: 139 	T / D ........: 11.56000 
Janela .......: 11 	Throughput ...: 1.80 	Delay ........: 139 	T / D ........: 11.57000 
Janela .......: 11 	Throughput ...: 1.80 	Delay ........: 139 	T / D ........: 11.57000 
Janela .......: 11 	Throughput ...: 1.80 	Delay ........: 139 	T / D ........: 11.57000 
Janela .......: 11 	Throughput ...: 1.80 	Delay ........: 139 	T / D ........: 11.57000 
Janela .......: 11 	Throughput ...: 1.80 	Delay ........: 139 	T / D ........: 11.57000 
Janela .......: 11 	Throughput ...: 1.80 	Delay ........: 139 	T / D ........: 11.57000 
Janela .......: 11 	Throughput ...: 1.80 	Delay ........: 139 	T / D ........: 11.57000 
Janela .......: 11 	Throughput ...: 1.80 	Delay ........: 139 	T / D ........: 11.57000 
Janela .......: 11 	Throughput ...: 1.80 	Delay ........: 139 	T / D ........: 11.57000 
Janela .......: 11 	Throughput ...: 1.80 	Delay ........: 139 	T / D ........: 11.61000 
Janela .......: 11 	Throughput ...: 1.80 	Delay ........: 139 	T / D ........: 11.71000 
Janela .......: 11 	Throughput ...: 1.80 	Delay ........: 139 	T / D ........: 11.71000 
Janela .......: 11 	Throughput ...: 1.80 	Delay ........: 139 	T / D ........: 11.71000 
Janela .......: 11 	Throughput ...: 1.80 	Delay ........: 139 	T / D ........: 11.71000 
Janela .......: 11 	Throughput ...: 1.80 	Delay ........: 139 	T / D ........: 11.71000 
Janela .......: 11 	Throughput ...: 1.91 	Delay ........: 139 	T / D ........: 11.71000 
Janela .......: 11 	Throughput ...: 1.91 	Delay ........: 139 	T / D ........: 11.71000 
Janela .......: 11 	Throughput ...: 1.91 	Delay ........: 145 	T / D ........: 11.75000 
Janela .......: 11 	Throughput ...: 1.91 	Delay ........: 145 	T / D ........: 11.79000 
Janela .......: 11 	Throughput ...: 1.91 	Delay ........: 145 	T / D ........: 11.80000 
Janela .......: 11 	Throughput ...: 1.91 	Delay ........: 145 	T / D ........: 11.80000 
Janela .......: 11 	Throughput ...: 1.91 	Delay ........: 145 	T / D ........: 11.80000 
Janela .......: 11 	Throughput ...: 1.91 	Delay ........: 145 	T / D ........: 11.80000 
Janela .......: 11 	Throughput ...: 1.91 	Delay ........: 145 	T / D ........: 11.80000 
Janela .......: 11 	Throughput ...: 1.91 	Delay ........: 145 	T / D ........: 11.80000 
Janela .......: 11 	Throughput ...: 1.91 	Delay ........: 145 	T / D ........: 11.80000 
Janela .......: 11 	Throughput ...: 1.91 	Delay ........: 145 	T / D ........: 11.80000 
Janela .......: 11 	Throughput ...: 1.91 	Delay ........: 145 	T / D ........: 11.80000 
Janela .......: 11 	Throughput ...: 1.91 	Delay ........: 145 	T / D ........: 11.80000 
Janela .......: 11 	Throughput ...: 1.91 	Delay ........: 145 	T / D ........: 11.80000 
Janela .......: 11 	Throughput ...: 1.91 	Delay ........: 145 	T / D ........: 11.80000 
Janela .......: 11 	Throughput ...: 1.92 	Delay ........: 145 	T / D ........: 11.80000 
Janela .......: 11 	Throughput ...: 1.92 	Delay ........: 151 	T / D ........: 11.80000 
Janela .......: 11 	Throughput ...: 1.92 	Delay ........: 151 	T / D ........: 11.80000 
Janela .......: 11 	Throughput ...: 1.92 	Delay ........: 153 	T / D ........: 11.80000 
Janela .......: 11 	Throughput ...: 1.92 	Delay ........: 155 	T / D ........: 11.80000 
Janela .......: 11 	Throughput ...: 1.92 	Delay ........: 155 	T / D ........: 11.80000 
Janela .......: 11 	Throughput ...: 1.92 	Delay ........: 155 	T / D ........: 11.80000 
Janela .......: 11 	Throughput ...: 1.92 	Delay ........: 155 	T / D ........: 11.80000 
Janela .......: 11 	Throughput ...: 1.92 	Delay ........: 155 	T / D ........: 11.80000 
Janela .......: 11 	Throughput ...: 1.92 	Delay ........: 155 	T / D ........: 11.80000 
Janela .......: 11 	Throughput ...: 1.92 	Delay ........: 155 	T / D ........: 11.80000 
Janela .......: 11 	Throughput ...: 1.92 	Delay ........: 155 	T / D ........: 11.80000 
Janela .......: 11 	Throughput ...: 1.92 	Delay ........: 155 	T / D ........: 11.80000 
Janela .......: 11 	Throughput ...: 1.92 	Delay ........: 155 	T / D ........: 11.80000 
Janela .......: 11 	Throughput ...: 1.92 	Delay ........: 155 	T / D ........: 11.80000 
Janela .......: 11 	Throughput ...: 1.92 	Delay ........: 155 	T / D ........: 11.82000 
Janela .......: 11 	Throughput ...: 1.92 	Delay ........: 155 	T / D ........: 11.82000 
Janela .......: 11 	Throughput ...: 1.92 	Delay ........: 155 	T / D ........: 11.84000 
Janela .......: 11 	Throughput ...: 1.92 	Delay ........: 155 	T / D ........: 11.84000 
Janela .......: 11 	Throughput ...: 1.92 	Delay ........: 155 	T / D ........: 11.90000 
Janela .......: 11 	Throughput ...: 1.92 	Delay ........: 155 	T / D ........: 11.90000 
Janela .......: 11 	Throughput ...: 1.92 	Delay ........: 155 	T / D ........: 11.90000 
Janela .......: 11 	Throughput ...: 1.92 	Delay ........: 157 	T / D ........: 11.90000 
Janela .......: 11 	Throughput ...: 1.92 	Delay ........: 157 	T / D ........: 11.90000 
Janela .......: 11 	Throughput ...: 1.92 	Delay ........: 157 	T / D ........: 11.90000 
Janela .......: 11 	Throughput ...: 1.92 	Delay ........: 157 	T / D ........: 11.90000 
Janela .......: 11 	Throughput ...: 1.92 	Delay ........: 157 	T / D ........: 11.90000 
Janela .......: 11 	Throughput ...: 1.92 	Delay ........: 157 	T / D ........: 11.90000 
Janela .......: 11 	Throughput ...: 1.92 	Delay ........: 157 	T / D ........: 11.90000 
Janela .......: 11 	Throughput ...: 1.92 	Delay ........: 157 	T / D ........: 11.90000 
Janela .......: 11 	Throughput ...: 1.92 	Delay ........: 157 	T / D ........: 11.90000 
Janela .......: 11 	Throughput ...: 1.92 	Delay ........: 157 	T / D ........: 11.90000 
Janela .......: 11 	Throughput ...: 1.92 	Delay ........: 157 	T / D ........: 11.90000 
Janela .......: 11 	Throughput ...: 1.92 	Delay ........: 157 	T / D ........: 11.90000 
Janela .......: 11 	Throughput ...: 1.92 	Delay ........: 157 	T / D ........: 11.90000 
Janela .......: 11 	Throughput ...: 1.92 	Delay ........: 157 	T / D ........: 11.90000 
Janela .......: 11 	Throughput ...: 1.92 	Delay ........: 15741 	T / D ........: 11.90000 
Janela .......: 11 	Throughput ...: 1.92 	Delay ........: 159 	T / D ........: 11.90000 
Janela .......: 11 	Throughput ...: 1.92 	Delay ........: 162 	T / D ........: 11.90000 
Janela .......: 11 	Throughput ...: 1.92 	Delay ........: 162 	T / D ........: 11.90000 
Janela .......: 11 	Throughput ...: 1.93 	Delay ........: 162 	T / D ........: 11.90000 
Janela .......: 11 	Throughput ...: 1.93 	Delay ........: 162 	T / D ........: 11.90000 
Janela .......: 11 	Throughput ...: 1.93 	Delay ........: 162 	T / D ........: 11.90000 
Janela .......: 11 	Throughput ...: 1.93 	Delay ........: 162 	T / D ........: 11.90000 
Janela .......: 11 	Throughput ...: 1.93 	Delay ........: 162 	T / D ........: 11.90000 
Janela .......: 11 	Throughput ...: 1.93 	Delay ........: 162 	T / D ........: 11.90000 
Janela .......: 11 	Throughput ...: 1.93 	Delay ........: 162 	T / D ........: 11.90000 
Janela .......: 11 	Throughput ...: 1.93 	Delay ........: 162 	T / D ........: 11.90000 
